GDP(usd),Year
11308.219,1980
12368.435,1981
13038.443,1982
13807.878,1983
14770.078,1984
15609.795,1985
16297.769,1986
16943.206,1987
18085.816,1988
19337.149,1989
20810.001,1990
22302.49,1991
23003.8,1992
23188.393,1993
24223.047,1994
25128.549,1995
25759.419,1996
26689.199,1997
27488.582,1998
28406.8,1999
29956.772,2000
31151.611,2001
31629.372,2002
31995.535,2003
33123.678,2004
34506.101,2005
37004.525,2006
39365.032,2007
40572.348,2008
38743.414,2009
40839.528,2010
43248.922,2011
44299.695,2012
45224.522,2013
46887.761,2014
47678.017,2015
48843.147,2016
50803.999,2017
52558.69,2018

